Area (cm2),PCE (%),Stability,Solvent1,Solvent2,Solvent3,Solvent4,ratio1,ratio2,ratio3,ratio4
0.053,15.452222222222222,,DMF,,,,1.0,0.0,0.0,0.0
0.1962368421052631,15.891459227467813,,DMF,,,,1.0,0.0,0.0,0.0
0.1,21.4,,DMF,,,,1.0,0.0,0.0,0.0
0.0922222222222222,10.402222222222225,,DMF,,,,1.0,0.0,0.0,0.0
0.19,14.483,,DMF,,,,1.0,0.0,0.0,0.0
0.077391304347826,14.77913043478261,,DMF,,,,1.0,0.0,0.0,0.0
0.09,14.2025,,DMF,,,,1.0,0.0,0.0,0.0
0.075,16.162857142857142,,DMF,,,,1.0,0.0,0.0,0.0
0.0679999999999999,14.646,,DMF,,,,1.0,0.0,0.0,0.0
0.1,15.66875,,DMF,DMI,,,0.925925925925926,0.074074074074074,0.0,0.0
,14.785,,DMF,DMSO,,,0.1596638655462184,0.8403361344537815,0.0,0.0
0.066,17.619999999999997,,DMF,DMSO,,,0.9267840593141798,0.0732159406858202,0.0,0.0
0.1,12.865714285714288,,DMF,DMSO,,,0.8849557522123894,0.1150442477876106,0.0,0.0
0.1,14.18,,DMF,DMSO,,,0.9174311926605504,0.0825688073394495,0.0,0.0
0.0548888888888888,14.076666666666666,,DMF,DMSO,,,0.9090909090909092,0.0909090909090909,0.0,0.0
0.085,18.568,,DMF,DMSO,,,0.9230769230769232,0.0769230769230769,0.0,0.0
0.04,12.771428571428572,,DMF,DMSO,,,0.8666666666666667,0.1333333333333333,0.0,0.0
0.08,19.53333333333333,,DMF,DMSO,,,0.9333333333333332,0.0666666666666666,0.0,0.0
0.1,12.24,,DMF,DMSO,,,0.9390243902439024,0.0609756097560975,0.0,0.0
0.0892857142857142,14.499444444444444,,DMF,DMSO,,,0.85,0.15,0.0,0.0
0.1,16.1,,DMF,DMSO,,,0.927643784786642,0.072356215213358,0.0,0.0
0.07,18.423333333333336,,DMF,DMSO,,,0.9267840593141798,0.0732159406858202,0.0,0.0
0.066,15.055,,DMF,DMSO,,,0.9259259259259258,0.074074074074074,0.0,0.0
0.06,11.11,,DMF,DMSO,,,0.6666666666666666,0.3333333333333333,0.0,0.0
0.09,18.18857142857143,,DMF,DMSO,,,0.5291005291005291,0.4708994708994709,0.0,0.0
0.6433333333333333,12.773333333333332,,DMF,DMSO,,,0.5,0.5,0.0,0.0
0.0737,16.923333333333332,,DMF,DMSO,,,0.4166666666666667,0.5833333333333334,0.0,0.0
0.06,13.805,,DMF,DMSO,,,0.4,0.6,0.0,0.0
0.1,19.89,,DMF,DMSO,,,0.0909090909090909,0.9090909090909092,0.0,0.0
0.09,12.1725,,DMF,DMSO,,,0.3333333333333333,0.6666666666666666,0.0,0.0
0.06,10.18,,DMF,DMSO,,,0.25,0.75,0.0,0.0
0.49249375,15.347368421052632,,DMF,DMSO,,,0.2,0.8,0.0,0.0
0.2486363636363636,13.670740740740742,,DMF,DMSO,,,0.1,0.9,0.0,0.0
0.133,11.05,,DMF,DMSO,,,0.9523809523809524,0.0476190476190476,0.0,0.0
0.10245,15.773500000000002,,DMF,DMSO,,,0.6666666666666666,0.3333333333333333,0.0,0.0
0.1803571428571428,16.693214285714287,,DMF,DMSO,,,0.4,0.6,0.0,0.0
0.096,19.045,,DMF,DMSO,,,0.2,0.8,0.0,0.0
,13.398,,DMF,DMSO,,,0.7797356828193832,0.2202643171806167,0.0,0.0
0.2301325301204819,16.30578313253012,,DMF,DMSO,,,0.75,0.25,0.0,0.0
0.0948,13.965,,DMF,DMSO,,,0.6,0.4,0.0,0.0
0.1,19.0,,DMF,DMSO,,,0.5,0.5,0.0,0.0
0.1,20.5,,DMF,DMSO,,,0.375,0.625,0.0,0.0
0.095,18.698,,DMF,DMSO,,,0.3,0.7,0.0,0.0
0.09,22.03333333333333,,DMF,DMSO,,,0.8260869565217391,0.1739130434782608,0.0,0.0
0.1768266573295985,16.591394927536232,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.16,13.283333333333331,,DMF,DMSO,,,0.4,0.6,0.0,0.0
0.125,18.8084375,,DMF,DMSO,,,0.4318181818181818,0.5681818181818182,0.0,0.0
0.082,16.723333333333333,,DMF,DMSO,,,0.8333333333333334,0.1666666666666666,0.0,0.0
0.1,18.15,,DMF,DMSO,,,0.8666666666666667,0.1333333333333333,0.0,0.0
0.08,15.45,,DMF,DMSO,,,0.8734177215189873,0.1265822784810126,0.0,0.0
0.33,13.451666666666668,,DMF,DMSO,,,0.8849557522123894,0.1150442477876106,0.0,0.0
0.09,16.798333333333336,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.1552,16.726,,DMF,DMSO,,,0.8571428571428571,0.1428571428571428,0.0,0.0
0.1,13.605454545454544,,DMF,DMSO,,,0.6,0.4,0.0,0.0
0.1,13.575,,DMF,DMSO,,,0.8789346246973365,0.1210653753026634,0.0,0.0
0.14,18.054,,DMF,DMSO,,,0.879951980792317,0.120048019207683,0.0,0.0
0.1,14.665,,DMF,DMSO,,,0.8849252013808975,0.1150747986191024,0.0,0.0
0.0685714285714285,17.322857142857142,,DMF,DMSO,,,0.885057471264368,0.1149425287356322,0.0,0.0
0.09,15.73,,DMF,DMSO,,,0.1008522727272727,0.8991477272727273,0.0,0.0
0.1,20.4525,,DMF,DMSO,,,0.78,0.22,0.0,0.0
0.166875,12.6175,,DMF,DMSO,,,0.875,0.125,0.0,0.0
0.1329173076923077,15.824035874439463,,DMF,DMSO,,,0.7,0.3,0.0,0.0
0.09,12.14,,DMF,DMSO,,,0.8913043478260869,0.108695652173913,0.0,0.0
0.09,14.53,,DMF,DMSO,,,0.7321428571428571,0.2678571428571428,0.0,0.0
